Points,GEO12_ID,min_tower_distance,min_hospital_distance,min_food_distance,min_parking_distance,min_tower_distance_scaled,min_hospital_distance_scaled,min_food_distance_scaled,min_parking_distance_scaled,TotPop,NatWalkInd,TotPop_scaled,NatWalkInd_scaled,score
"(-95.99695236300423, 30.237228176343297)",481852000000.0,0.005616245,0.175181733,0.071456354,0.491052014,0.063442495,0.260752633,0.202179401,0.43497878,3123,4.666666667,0.33451156812339333,0.40816326537109543,0.665039447994116
"(-95.99695701797562, 30.1259306644043)",484737000000.0,0.00087658,0.278689195,0.050188193,0.581486498,0.009699062,0.414920306,0.141938884,0.515158332,6196,5.0,0.6636675235646958,0.44897959185922537,0.7107796236573047
"(-95.99709350281927, 29.81260293588806)",484737000000.0,0.010578234,0.498553701,0.046547459,0.861849595,0.119706877,0.742394277,0.13162677,0.763729301,6196,5.0,0.6636675235646958,0.44897959185922537,0.5722669223964352
"(-95.99871082140302, 30.099116378946754)",484737000000.0,0.001455397,0.303988643,0.023677776,0.603416585,0.01626231,0.4526022,0.066850061,0.534601629,6196,5.0,0.6636675235646958,0.44897959185922537,0.7033602570920873
"(-95.99871954852014, 31.346192276567184)",482900000000.0,0.00533527,0.413131597,0.087875985,0.791697407,0.06025649,0.615163574,0.248686809,0.701532109,2435,7.666666667,0.26081833761782347,0.775510204131612,0.5591575817218656
"(-95.99881174419879, 29.767386390169065)",484737000000.0,0.00957315,0.526847368,0.030069275,0.902852399,0.108310146,0.784535865,0.084953517,0.80008254,6196,5.0,0.6636675235646958,0.44897959185922537,0.5637834267877395
"(-95.99881475522098, 31.25072018401997)",482900000000.0,0.004193803,0.320496593,0.010535115,0.704748243,0.047313315,0.477189724,0.02962443,0.624442655,2435,7.666666667,0.26081833761782347,0.775510204131612,0.6059965930696914
"(-95.99940063460431, 29.844957282383586)",484737000000.0,0.00448625,0.477041073,0.056888264,0.831323483,0.050629392,0.710352608,0.160916347,0.736664736,6196,5.0,0.6636675235646958,0.44897959185922537,0.6058272916138265
"(-95.99978013865741, 31.266503734414208)",482900000000.0,0.004629002,0.335959037,0.011777454,0.718552415,0.052248065,0.500220035,0.033143265,0.636681486,2435,7.666666667,0.26081833761782347,0.775510204131612,0.5988688628957785
"(-96.0001645756559, 29.84176997142634)",484737000000.0,0.004065725,0.478307408,0.059701031,0.833919401,0.045861028,0.712238733,0.168883305,0.738966286,6196,5.0,0.6636675235646958,0.44897959185922537,0.6062569189616525
