,Points,min_tower_distance,min_hospital_distance,min_food_distance,min_parking_distance,min_tower_distance_scaled,min_hospital_distance_scaled,min_food_distance_scaled,min_parking_distance_scaled,score
26,"(-96.34635638095779, 30.690449839951462)",0.1770540452337487,2.164742533253301,4.311955976878846,0.8477613290335467,0.03369436708977319,0.04704586036915667,0.05703200582645217,0.039533264777665236,0.9589660113055254
27,"(-96.34598753832773, 30.68935248481288)",0.21616189070485772,2.0919453529158605,4.234366105923267,0.914352328445667,0.04119518179033589,0.04545817684592918,0.055998683963948054,0.042656932911423154,0.9558871685327494
28,"(-96.3451637679855, 30.687795777650994)",0.1632016440571066,1.9779435612218854,4.122499365272915,1.0242849985543994,0.031037501360347913,0.04297183375610145,0.05450887160342402,0.0478136835460302,0.9575180222619208
29,"(-96.33516251576845, 30.688035905277136)",0.18225557839874515,1.6760224238730943,4.110737351175899,0.9867263731209353,0.03469201183239377,0.0363870290581612,0.05435222813741688,0.04605187365505404,0.9584590183628863
30,"(-96.32818867066393, 30.67976947516201)",0.16827012102116237,0.9996659925656193,3.575084286874724,0.6886294352457529,0.03200962616199516,0.021635908797208725,0.047218538968419356,0.03206866400462131,0.9685206108932694
31,"(-96.33100316439923, 30.702229842337285)",0.037211488865859246,2.549035717130425,5.0983268289561225,1.583874733081126,0.00687281530310076,0.05542717339944371,0.06750468974098853,0.07406306615254864,0.9504770252940629
32,"(-96.33541363964828, 30.677617842428802)",0.01354311215006681,1.0676855823481584,3.392905673637529,0.28767911830368154,0.002333263050358431,0.023119394578578863,0.04479233124800118,0.013260780967741565,0.98489259665728
33,"(-96.33678091051121, 30.694866486044905)",0.2397819625575419,2.148114608690932,4.5805129311345825,1.2416847659337549,0.0457254692568711,0.046683210583398894,0.06060857798390358,0.05801152907537176,0.94768024767772
34,"(-96.32668341943356, 30.687091464932585)",0.1751452142995763,1.480145936223449,4.087079930191188,1.1167034091594423,0.03332825673622517,0.0321150246949775,0.05403716471466726,0.05214887068435364,0.957315253294929
35,"(-96.32723133986971, 30.674446822417124)",0.2733687699637339,0.6318065655240436,3.2216720125917955,0.5429683867292147,0.05216735874739405,0.013613010815850559,0.042511885574151864,0.025235957188419623,0.9672816187798288
36,"(-96.32799049903674, 30.69595596954068)",0.3843316307124887,2.0956959241276127,4.683164151941525,1.6245081835728858,0.07344983665161979,0.0455399756201123,0.061975660431215274,0.07596911074695727,0.9322718435385873
